id,不知道,不知道
1191,完成召唤{0}次,完成召喚{0}次
1200,采集次数,採集次數
1201,任意区域采集达到{0}次,任意區域採集達到{0}次
1210,指定妖精完成进阶,指定妖精完成進階
1211,妖精{1}升至满级并进化{0}次,妖精{1}升至滿級並進化{0}次
1220,指定区域到达一定等级,指定區域到達一定等級
1221,{1}探索等级到达{0}级,{1}探索等級到達{0}級
1230,配方数量,配方數量
1231,研制出{0}个配方,研製出{0}個配方
1240,购买物品次数,購買物品次數
1241,购买物品{0}次,購買物品{0}次
1250,装饰替换次数,裝飾替換次數
1251,装饰替换{0}次,裝飾替換{0}次
1260,祈祷次数,祈禱次數
1261,祈祷{0}次,祈禱{0}次
1270,物品数量,物品數量
1271,{1}数量达到{0}以上,{1}數量達到{0}以上
1280,获得物品,獲得物品
1281,收取不少于{0}的{1},收取不少於{0}的{1}
1290,单次贩卖时长,單次販賣時長
1291,单次营业时间达到{0},單次營業時間達到{0}
1300,单次贩卖收益,單次販賣收益
1301,单次营业获得{0}金币,單次營業獲得{0}金幣
1310,打工次数,打工次數
1311,打工达到{0}次,打工達到{0}次
1320,拜访NPC,拜訪NPC
1321,拜访{0},拜訪{0}
1330,送礼次数,送禮次數
1331,送礼{0}次,送禮{0}次
1340,累计贩卖时长,累計販賣時長
1341,营业时长累计{0},營業時長累計{0}
1350,累计贩卖收益,累計販賣收益
1351,营业收益累计{0},營業收益累計{0}
1360,交付炼成品及以上品质,交付鍊成品及以上品質
1370,NPC好感度,NPC好感度
1371,{1}好感度达到{0}级,{1}好感度達到{0}級
1380,寻秘x完成N次数,尋秘x完成N次數
1381,完成寻秘{1}{0}次,完成尋秘{1}{0}次
1390,派遣x妖精采集y区域成功N次,派遣x妖精採集y區域成功N次
1391,派遣{1}采集{2}{0}次,派遣{1}採集{2}{0}次
1400,使用x妖精培育y植物N个,使用x妖精培育y植物N個
1401,使用{1}培育{2}{0}个,使用{1}培育{2}{0}個
1410,使用x妖精炼成y炼成品N个,使用x妖精鍊成y鍊成品N個
1411,使用{1}炼成{2}{0}个,使用{1}鍊成{2}{0}個
1420,累计采集x区域N时长,累計採集x區域N時長
1421,累计采集{1}时间达到{0},累計採集{1}時間達到{0}
1430,x妖精冥想N次数,x妖精冥想N次數
1431,对{1}进行{0}次冥想,對{1}進行{0}次冥想
1440,营业出售N个x物品,營業出售N個x物品
1441,营业出售{0}个{1},營業出售{0}個{1}
1450,x妖精好感度达到N,x妖精好感度達到N
1451,{1}进化且好感度达到{0},{1}進化且好感度達到{0}
1460,今日委托获得金币数量,今日委託獲得金幣數量
1461,今日通过委托获得{0}金币,今日通過委託獲得{0}金幣
1470,今日完成委托,今日完成委託
1471,今日完成{0}次委托,今日完成{0}次委託
1480,今日完成小游戏次数,今日完成小遊戲次數
1481,今日进行{0}次打工,今日進行{0}次打工
1490,今日祈祷次数,今日祈禱次數
1491,今日进行{0}次祈祷,今日進行{0}次祈禱
1500,委托获得金币数量（包含今日）,委託獲得金幣數量（包含今日）
1501,通过委托获得{0}金币,通過委託獲得{0}金幣
1510,委托完成数量（包含今日）,委託完成數量（包含今日）
1511,累计完成{0}次委托,累計完成{0}次委託
4000,求学,求學
4002,去向格蕾问问配方的事吧。,去向格蕾問問配方的事吧。
4010,小镇委托板,小鎮委託板
4011,委托板,委託板
4022,杂货铺就是小卖部？,雜貨鋪就是小賣部？
4050,祈祷,祈禱
4052,女神也要等价交换。,女神也要等價交換。
4060,采集,採集
4061,派遣,派遣
4062,采集可以获得各种素材和种子。,採集可以獲得各種素材和種子。
4070,箱庭,箱庭
4072,这是生物最喜欢呆着的生态圈。,這是生物最喜歡呆著的生態圈。
4080,召唤,召喚
4082,沟通异世界的宝箱需要钥匙开启。,溝通異世界的寶箱需要鑰匙開啟。
4090,炼金,鍊金
4102,帮助村民排忧解难！,幫助村民排憂解難！
4110,仓库,倉庫
4120,妖精,妖精
4130,手账,手賬
4132,把和村民的记忆藏在这里。,把和村民的記憶藏在這裏。
4140,图鉴,圖鑒
4150,装饰,裝飾
4152,装修一新！,裝修一新！
4160,签到,簽到
4180,主界面,主介面
4190,小镇,小鎮
4200,邮件,郵件
4201,邮箱,郵箱
4210,研制,研製
4220,营业,營業
4222,金币从哪来？这里！,金幣從哪來？這裏！
4230,钓鱼,釣魚
4232,闲暇时候来鱼塘帮帮忙。,閒暇時候來魚塘幫幫忙。
4240,整理衣服,整理衣服
4242,有空的时候可以帮裁缝铺整理下衣服。,有空的時候可以幫裁縫鋪整理下衣服。
4260,一键采集收取,一鍵採集收取
4270,贸易,貿易
4272,远洋贸易，积少成多。,遠洋貿易，積少成多。
4280,送礼,送禮
4282,和所有人交朋友！,和所有人交朋友！
4290,小道消息,小道消息
4292,坊间传闻有时候也挺可靠的。,坊間傳聞有時候也挺可靠的。
4300,时间球,時間球
4310,自动培育,自動培育
4312,省力往往不省钱。,省力往往不省錢。
4320,炼金商店,鍊金商店
4330,社交,社交
4332,多个朋友多条路。,多個朋友多條路。
4340,藏书阁,藏書閣
4350,活动商店,活動商店
4360,事件进度,事件進度
4370,阵营任务,陣營任務
4380,好友,好友
4390,小活动任务,小活動任務
4400,寻秘,尋秘
4410,耕地,耕地
4412,翻翻地里都有些啥？,翻翻地裏都有些啥？
4422,按时做完作业，就能获得奖励。,按時做完作業，就能獲得獎勵。
4430,每日任务,每日任務
4440,充值,儲值
4450,月卡,月卡
4460,礼包,禮包
4470,活动侧边栏,活動側邊欄
4480,七日签到,七日簽到
4490,主线任务,主線任務
4500,支线任务,支線任務
4510,限时礼包,限時禮包
4520,一键培育收取,一鍵培育收取
4530,灵光,靈光
4532,灵感可以用来探索炼金的奥秘！,靈感可以用來探索鍊金的奧秘！
4540,商城,商城
4542,魔晶不够就想想办法嘛。,魔晶不够就想想办法嘛。
4550,储蓄罐,储蓄罐
4560,开服营业累计金币活动,开服营业累计金币活动
4570,活动配方小道消息,活动配方小道消息
4580,调查问卷,调查问卷
4590,成就,成就
5000,金币,金幣
5001,帝国发行通用货币。,帝國發行通用貨幣。
5002,可用于交易,可用於交易
5003,资源,資源
5010,魔晶,魔晶
5011,"蕴含魔力, 是上流社会的珍贵货币。","蘊含魔力, 是上流社會的珍貴貨幣。"
5012,可用于购买珍稀物品,可用於購買珍稀物品
5020,炼金碎沫,鍊金碎沫
5021,"虽然没什么用处, 但还能换点东西。","雖然沒什麼用處, 但還能換點東西。"
5022,可用于炼金商店换物品,可用於鍊金商店換物品
5030,炼金碎渣,鍊金碎渣
5031,"虽然没什么用处, 但是却能卖出一笔好价钱。","雖然沒什麼用處, 但是卻能賣出一筆好價錢。"
5032,"没有用处的物品, 可以出售","沒有用處的物品, 可以出售"
5040,炼金沉淀,鍊金沉澱
5041,价值不菲的…无用品。,價值不菲的…無用品。
5050,魔种精华,魔種精華
5051,"钱钱钱钱钱, 流下了穷人的泪水。","錢錢錢錢錢, 流下了窮人的淚水。"
5060,妖精经验,妖精經驗
5061,妖精成长的证明。,妖精成長的證明。
5070,工坊影响力,工坊影响力
5071,工坊成长的证明。,工坊成长的证明。
5080,家具币,傢俱幣
5081,可以购买神奇家具的家具币。,可以购买神奇家具的家具币。
5082,兑换新奇家具,兌換新奇傢俱
5090,远洋币,遠洋幣
5091,大陆通用的贸易货币,大陸通用的貿易貨幣
5092,可用于贸易,可用於貿易
5100,金色钥匙,金色鑰匙
5101,似乎能开启一个奇妙的箱子。,似乎能開啟一個奇妙的箱子。
5102,抽取珍贵道具,抽取珍貴道具
5110,彩虹钥匙,彩虹鑰匙
5111,似乎能开启一个珍稀绝伦的箱子。,似乎能開啟一個珍稀絕倫的箱子。
5112,抽取限定道具,抽取限定道具
5120,星陨晶块,星隕晶塊
5121,黏糊糊的魔力玉石，能够帮助妖精成长。,黏糊糊的魔力玉石，能夠幫助妖精成長。
5122,一星进阶素材,一星進階素材
5130,星陨结晶,星隕結晶
5131,自带温度的魔力玉石，妖精们很喜欢。,自帶溫度的魔力玉石，妖精們很喜歡。
5140,星陨凝玉,星隕凝玉
5141,星空中凝结的玉石，让妖精着迷。,星空中凝结的玉石，让妖精着迷。
5142,二星进阶素材,二星進階素材
5150,星陨宝玉,星隕寶玉
5151,星辰凝结而成的宝玉，对妖精帮助很大。,星辰凝结而成的宝玉，对妖精帮助很大。
5152,三星进阶素材,三星進階素材
5160,星陨晶簇,星隕晶簇
5161,来自星空的结晶簇，能帮助妖精成长。,來自星空的結晶簇，能幫助妖精成長。
5162,四星进阶素材,四星進階素材
5170,星陨星核,星隕星核
5171,陨石中的精华核心，妖精们十分喜欢。,隕石中的精華核心，妖精們十分喜歡。
5172,五星进阶素材,五星進階素材
5180,时间碎片,時間碎片
5181,能够稍微加快时间的流动。,能夠稍微加快時間的流動。
5182,1分钟加速,1分鐘加速
5200,两小时急速卷,兩小時急速卷
5201,能够大量加快时间的流动。,能夠大量加快時間的流動。
5210,木枝蛋糕,木枝蛋糕
5211,富含妖精能够吸收的风元素魔力。,富含妖精能夠吸收的風元素魔力。
5212,风属性技能素材,風屬性技能素材
5220,栗子蛋糕,栗子蛋糕
5221,富含妖精能够吸收的土元素魔力。,富含妖精能夠吸收的土元素魔力。
5222,土属性技能素材,土屬性技能素材
5230,奶茶,奶茶
5231,富含妖精能够吸收的水元素魔力。,富含妖精能夠吸收的水元素魔力。
5232,水属性技能素材,水屬性技能素材
5240,熔岩蛋糕,熔岩蛋糕
5241,富含妖精能够吸收的火元素魔力。,富含妖精能夠吸收的火元素魔力。
5242,火属性技能素材,火屬性技能素材
5250,植物币,植物幣
5251,生命之树精华化作的货币，不知道谁会收取。,生命之樹精華化作的貨幣，不知道誰會收取。
5252,用于快速收取魔植物的货币,用於快速收取魔植物的貨幣
5260,入学邀请函,入學邀請函
5261,里面装着能开启魔法教室右边抽屉的学识证书。,裏面裝著能開啟魔法教室右邊抽屜的學識證書。
5262,可解锁魔法教室右边抽屉的神奇道具。,可解鎖魔法教室右邊抽屜的神奇道具。
5270,压缩饼干,壓縮餅乾
5271,味同嚼蜡的饼干。,味同嚼蠟的餅乾。
5272,增加妖精好感度,增加妖精好感度
5280,甜味饼干,甜味餅乾
5281,带点甜味的饼干。,帶點甜味的餅乾。
5290,海苔饼干,海苔餅乾
5291,有海的味道的饼干。,有海的味道的餅乾。
5300,果酱饼干,果醬餅乾
5301,拥有各种果酱味道的饼干。,擁有各種果醬味道的餅乾。
5310,抹茶饼干,抹茶餅乾
5311,抹茶工艺制作的高级饼干。,抹茶工藝製作的高級餅乾。
5320,夹心饼干,夾心餅乾
5321,相信的心就是夹心的魔法。,相信的心就是夾心的魔法。
5330,缤纷糖果,繽紛糖果
5331,带有星辰之力的糖果。,帶有星辰之力的糖果。
5332,解锁妖精立绘,解鎖妖精立繪
5340,原初结晶,原初結晶
5341,可以1比1转化为魔晶的神奇矿物,可以1比1轉化為魔晶的神奇礦物
5342,珍贵的矿物,珍貴的礦物
5350,妖精信笺,妖精信箋
5351,妖精间联络的工具。,妖精間聯絡的工具。
5352,可以兑换奇妙的物品,可以兌換奇妙的物品
5360,回忆之钥,回憶之鑰
5361,能够打开回忆宝箱的奇妙钥匙。,能夠打開回憶寶箱的奇妙鑰匙。
5362,回忆之匣召唤,回憶之匣召喚
5370,打工券,打工券
5371,听说可以用来骗过工头的奇妙票券。,聽說可以用來騙過工頭的奇妙票券。
5372,增加打工次数,增加打工次數
5380,求学券,求學券
5381,格蕾很喜欢的票券，可以去她那边看看。,格蕾很喜歡的票券，可以去她那邊看看。
5382,增加求学次数,增加求學次數
5390,整理家具券,整理傢俱券
5391,去好友家翻翻找找总要个理由的。,去好友家翻翻找找總要個理由的。
5392,增加整理家具次数,增加整理傢俱次數
5400,初级卡池钥匙,初級卡池鑰匙
5401,能够打开初级卡池的奇妙钥匙。,能夠打開初級卡池的奇妙鑰匙。
5402,初级卡池召唤,初級卡池召喚
5410,中级卡池钥匙,中級卡池鑰匙
5411,能够打开中级卡池的奇妙钥匙。,能夠打開中級卡池的奇妙鑰匙。
5412,中级卡池召唤,中級卡池召喚
5420,高级卡池钥匙,高級卡池鑰匙
5421,能够打开高级卡池的奇妙钥匙。,能夠打開高級卡池的奇妙鑰匙。
5422,高级卡池召唤,高級卡池召喚
5431,储蓄罐魔晶,储蓄罐魔晶
5432,表现用，不读取相应字段,表现用，不读取相应字段
6000,功勋,功勳
6001,活动中阵营发放的功勋。活动到期会清除。,活動中陣營發放的功勳。活動到期會清除。
6002,积分功勋,積分功勳
6010,建筑材料,建築材料
6011,用于扩建箱庭的材料。,用於擴建箱庭的材料。
6012,箱庭建筑材料,箱庭建築材料
6020,建筑工具,建築工具
6021,用于扩建箱庭的工具。,用於擴建箱庭的工具。
6030,时间齿轮,时间齿轮
6031,容纳着强大时间魔法的齿轮。,容纳着强大时间魔法的齿轮。
6032,加速水晶升级材料,加速水晶升級材料
6040,魔力沙漏,魔力沙漏
6041,能够承载大量魔法的容器，是高阶魔女的最爱。,能夠承載大量魔法的容器，是高階魔女的最愛。
6050,通行证积分,通行證積分
6060,小活动货币1,小活動貨幣1
6070,小活动货币2,小活動貨幣2
6081,失败中总结的经验，就是走向成功的捷径。,失敗中總結的經驗，就是走向成功的捷徑。
6082,研制中提示新配方,研製中提示新配方
10000,甜味黏土,甜味黏土
10001,供给了许多果树的土地，经由植物的反哺从而拥有了不同水果的味道。,供給了許多果樹的土地，經由植物的反哺從而擁有了不同水果的味道。
10002,炼金材料,鍊金材料
10003,材料,材料
10010,魔法冰泉,魔法冰泉
10011,冰冷清澈的泉水，纯净的魔力在其中流动。是很好的中继素材。,冰冷清澈的泉水，純淨的魔力在其中流動。是很好的中繼素材。
10020,火结晶,火結晶
10021,散发着淡淡红色光芒的粗糙结晶，内里浑浊不堪，只蕴含着最为低劣的火元素魔力。,散發著淡淡紅色光芒的粗糙結晶，內裏渾濁不堪，只蘊含著最為低劣的火元素魔力。
10030,微风粉尘,微風粉塵
10031,伴随着大风而来的晶莹颗粒，是大风曾经来过的证明。其中也蕴含着少数的风元素魔力。,伴隨著大風而來的晶瑩顆粒，是大風曾經來過的證明。其中也蘊含著少數的風元素魔力。
10040,彩虹羽翼,彩虹羽翼
10041,五彩斑斓的翅翼，不知属于何种生物。其中并没有蕴含任何属性的魔力。,五彩斑斕的翅翼，不知屬於何種生物。其中並沒有蘊含任何屬性的魔力。
10050,矿石碎片,礦石碎片
10051,不知名矿石的碎片，其中只有小部分能提炼出金属。,不知名礦石的碎片，其中只有小部分能提鍊出金屬。
10060,矿盐,礦鹽
10061,凝结在矿石上的白色颗粒结晶，完全无法食用的盐粒，通常出现在铁匠与炼金工房的储藏间中。,凝結在礦石上的白色顆粒結晶，完全無法食用的鹽粒，通常出現在鐵匠與鍊金工房的儲藏間中。
10070,闪亮红砂,閃亮紅砂
10071,在黑夜中通过反射月光而发出光彩的红色岩砂，如果是大范围的红砂，看起来就像是星空一般璀璨异常。,在黑夜中通過反射月光而發出光彩的紅色岩砂，如果是大範圍的紅砂，看起來就像是星空一般璀璨異常。
10080,棉雾气团,棉霧氣團
10081,带有绵密实体的气团，虽然如同空气一般漂浮飞行，但如果误打误撞吸入的话，会造成严重的呼吸系统堵塞。,帶有綿密實體的氣團，雖然如同空氣一般漂浮飛行，但如果誤打誤撞吸入的話，會造成嚴重的呼吸系統堵塞。
10090,蜂蜡,蜂蠟
10091,蜜蜂筑巢时产生的脂肪性物质，通过袭击蜂巢得来的珍稀品。,蜜蜂築巢時產生的脂肪性物質，通過襲擊蜂巢得來的珍稀品。
10100,古树花粉,古樹花粉
10101,远古巨树抖落的花粉。,遠古巨樹抖落的花粉。
10110,铜簇,銅簇
10111,铜制的簇体。,銅制的簇體。
10120,晶海星,晶海星
10121,闪闪发光的水晶海星。,閃閃發光的水晶海星。
10130,液态滚石,液態滾石
10131,拥有着柔软外壳的炽热石头。,擁有著柔軟外殼的熾熱石頭。
10140,妖精粉尘,妖精粉塵
10141,妖精褪下的粉尘。,妖精褪下的粉塵。
10150,刻金石板,刻金石板
10151,镌刻着金色文字的石板。,鐫刻著金色文字的石板。
10160,重水,重水
10161,完全没有浮力的液体。,完全沒有浮力的液體。
10170,自燃石,自燃石
10171,在太阳下自动燃烧的石头。,在太陽下自動燃燒的石頭。
10180,深谷坚石,深谷堅石
10181,深谷中极其坚硬的巨大石块。,深谷中極其堅硬的巨大石塊。
10190,息土,息土
10191,能够不论体积阻塞缺漏的自然之土。,能夠不論體積阻塞缺漏的自然之土。
10200,古代页岩,古代葉岩
10201,来自深层地块的古老页岩。,來自深層地塊的古老葉岩。
10210,甲贝,甲貝
10211,覆盖着无数层岁月所打造的甲壳的贝壳。,覆蓋著無數層歲月所打造的甲殼的貝殼。
10220,涤辰砂,滌辰砂
10221,如同星辰洒落大海的砂尘。,如同星辰灑落大海的砂塵。
10230,化石鱼骨,化石魚骨
10231,来自远古时期的鱼类遗留的骨骸。,來自遠古時期的魚類遺留的骨骸。
10240,深海结晶,深海結晶
10241,自深海凝结的晶体。,自深海凝結的晶體。
10250,黑炭,黑炭
10251,具有超纯度的炭块。,具有超純度的炭塊。
10260,干涸砂砾,乾涸砂礫
10261,自干涸数年的沙漠中取来的砂砾。,自乾涸數年的沙漠中取來的砂礫。
10270,日光石,日光石
10271,散发着淡淡日光的石头。,散發著淡淡日光的石頭。
10280,坚硬的喙,堅硬的喙
10281,鸟类最坚硬的喙。,鳥類最堅硬的喙。
10290,生命之叶,生命之葉
10291,蕴含着生命魔力的古树叶子。,蘊含著生命魔力的古樹葉子。
10500,海沟海蜇,海溝海蜇
10501,深海海沟中的海蜇，孕育着大地与海洋的精华。,深海海溝中的海蜇，孕育著大地與海洋的精華。
10510,增生土块,增生土塊
10511,能够自然增生的土块。,能夠自然增生的土塊。
10520,月光石,月光石
10521,在月光下散发出乳白色荧光的石头。,在月光下散發出乳白色螢光的石頭。
10530,冰髓,冰髓
10531,千年冰山中的冰髓，散发着能够让任何物体上冻的温度。,千年冰山中的冰髓，散發著能夠讓任何物體上凍的溫度。
10540,家族残徽,家族殘徽
10541,古老家族徽章的碎片，蕴含着远古的信息。,古老家族徽章的碎片，蘊含著遠古的資訊。
10550,不老冰,不老冰
10551,就连魔女都束手无策的永恒之冰，无论如何都无法增加或者减少其体积质量。,就連魔女都束手無策的永恆之冰，無論如何都無法增加或者減少其體積品質。
10560,魔动环,魔動環
10561,将不同元素属性的魔力凝聚成能源的魔能环。,將不同元素屬性的魔力凝聚成能源的魔能環。
10570,魔魂残片,魔魂殘片
10571,禁锢着失去独立意识的狱魔领主的水晶残片。,禁錮著失去獨立意識的獄魔領主的水晶殘片。
10580,生命枝杈,生命枝杈
10581,残破的生命树树桩上盛开的嫩芽。,殘破的生命樹樹樁上盛開的嫩芽。
10590,衍生晶壤,衍生晶壤
10591,如同生命体一般黏连在一起的元素金属。,如同生命體一般黏連在一起的元素金屬。
10600,爆炸甲壳,爆炸甲壳
10601,在刺激下能够爆炸的昆虫甲壳。,在刺激下能够爆炸的昆虫甲壳。
10610,怪力药草,怪力药草
10611,吃下后能够快速恢复身体状态的草药。,吃下后能够快速恢复身体状态的草药。
10620,凝神圣水,凝神圣水
10621,来自大自然中最为珍稀的液体，拥有无数神奇的用法。,来自大自然中最为珍稀的液体，拥有无数神奇的用法。
10630,膨胀木,膨胀木
10631,在魔法的催发下能够自由变化大小。,在魔法的催发下能够自由变化大小。
10640,缩小宝石,缩小宝石
10641,透过宝石能够看到缩小后的世界。,透过宝石能够看到缩小后的世界。
10650,无风蛛网,无风蛛网
10651,能够遮蔽风雨的坚韧蛛网,能够遮蔽风雨的坚韧蛛网
50000,魔法亓草种子,魔法亓草種子
50001,生长在温和气候中蕴含着奇妙魔力植物的种子。,生長在溫和氣候中蘊含著奇妙魔力植物的種子。
50002,待培养的植物种子,待培養的植物種子
50003,种子,種子
50010,黄金小麦种子,黃金小麥種子
50011,金色小麦的种子。,金色小麥的種子。
50020,折光兰种子,折光蘭種子
50021,神奇的能够折射光的种子。,神奇的能夠折射光的種子。
50030,血浆果种子,血漿果種子
50031,生长环境不明，但是在火山附近多见的神秘植物。,生長環境不明，但是在火山附近多見的神秘植物。
50040,喷射孢子,噴射孢子
50041,能够将孢子和一切阻挡物向外喷射的神奇植物，通常只生长在阴暗环境之中。,能夠將孢子和一切阻擋物向外噴射的神奇植物，通常只生長在陰暗環境之中。
50050,幻梦菇,幻夢菇
50051,常见的高水分植物。通常用于制糖。,常見的高水分植物。通常用於制糖。
50060,厄运蘑菇,厄運蘑菇
50061,"以丰收为名的稀有果实,会随着丰产程度在不同的植物上开花结果。","以豐收為名的稀有果實,會隨著豐產程度在不同的植物上開花結果。"
50070,降雨水仙种子,降雨水仙種子
50071,能够凝结小型雨云的奇妙植物种子。,能夠凝結小型雨雲的奇妙植物種子。
50080,星辰珊瑚种子,星辰珊瑚種子
50081,如同星辰般耀眼的珊瑚种子。,如同星辰般耀眼的珊瑚種子。
50090,黑海带种子,黑海帶種子
50091,黑海带的种子。,黑海帶的種子。
50100,丛云果,叢雲果
50101,会伴随着风成长的奇妙果子。,會伴隨著風成長的奇妙果子。
50110,炽热蚯蚓,熾熱蚯蚓
50111,炽热的蚯蚓，能够钻入极深的地壳。,熾熱的蚯蚓，能夠鑽入極深的地殼。
50120,火溶虫,火溶蟲
50121,能够依靠自身温度熔化石头的虫子。,能夠依靠自身溫度熔化石頭的蟲子。
50130,岩蛭,岩蛭
50131,能够在石头中自由行动的虫子。,能夠在石頭中自由行動的蟲子。
50140,坚硬荆棘种子,堅硬荊棘種子
50141,坚硬荆棘的种子，异常扎手。,堅硬荊棘的種子，異常扎手。
50150,干涸地蔓种子,乾涸地蔓種子
50151,干涸地蔓的种子，有一股荒芜的气息。,乾涸地蔓的種子，有一股荒蕪的氣息。
50160,风滚草种子,風滾草種子
50161,风滚草的种子，仿佛自带着一股微风。,風滾草的種子，仿佛自帶著一股微風。
50170,长明草种子,長明草種子
50171,长明草的种子，散发着微微的光亮。,長明草的種子，散發著微微的光亮。
50180,辛辣辣椒种子,辛辣辣椒種子
50181,辛辣辣椒的种子，离眼睛远些。,辛辣辣椒的種子，離眼睛遠些。
50190,火焰麦穗种子,火焰麥穗種子
50191,火焰麦穗的种子，烫手，注意！,火焰麥穗的種子，燙手，注意！
50200,枯爪芦苇种子,枯爪蘆葦種子
50201,如同骷髅尖爪一般的芦苇生长在硬度适中的沼泽四周。,如同骷髏尖爪一般的蘆葦生長在硬度適中的沼澤四周。
50210,炽热浆蔓种子,熾熱漿蔓種子
50211,生长在流动岩浆之中的不可思议植物。是植物生态最大的破坏者。,生長在流動岩漿之中的不可思議植物。是植物生態最大的破壞者。
50220,储露花种子,儲露花種子
50221,以雨水为生的花类植物。在雨天绽开接取雨水储存在花朵之中成长。,以雨水為生的花類植物。在雨天綻開接取雨水儲存在花朵之中成長。
50230,攀藤紫罗兰种,攀藤紫羅蘭種
50231,在特定环境中会才会成长的特殊植物。能够结出完全的‘紫罗兰’。,在特定環境中會才會成長的特殊植物。能夠結出完全的‘紫羅蘭’。
50240,鱼腥菇种子,魚腥菇種子
50241,"以鱼类尸体为温床, 这种‘常理’之外的佐料得到了追捧开发。","以魚類屍體為溫床, 這種‘常理’之外的佐料得到了追捧開發。"
50250,德尔摩菌苔种,德爾摩菌苔種
50251,德尔摩菌苔在意想不到的地方出现并且扩散。,德爾摩菌苔在意想不到的地方出現並且擴散。
50260,沼底黑藻种子,沼底黑藻種子
50261,生长在沼泽底部的阴暗植物。其本身具有能够调和所有素材的效用。,生長在沼澤底部的陰暗植物。其本身具有能夠調和所有素材的效用。
50270,碎火花种子,碎火花種子
50271,"生长在岩浆附近的植物, 有幸见到此种植物的人会称呼其碎火花。","生長在岩漿附近的植物, 有幸見到此種植物的人會稱呼其碎火花。"
70000,魔法亓草,魔法亓草
70001,看似十分普通的天然小草，但细看却能发现亓草的叶子脉络十分特殊。,看似十分普通的天然小草，但細看卻能發現亓草的葉子脈絡十分特殊。
70002,炼金用植物,鍊金用植物
70003,植物,植物
70010,黄金小麦,黃金小麥
70011,金黄色的农间作物，是某些地区的日常食物。,金黃色的農間作物，是某些地區的日常食物。
70020,折光兰,折光蘭
70021,不仔细看就会忽略，仔细看也很容易忽略的兰花。,不仔細看就會忽略，仔細看也很容易忽略的蘭花。
70030,血浆果,血漿果
70031,如同人类心脏一般的果实，血红的颜色让人惊艳。,如同人類心臟一般的果實，血紅的顏色讓人驚豔。
70041,看似平平无奇的蘑菇，而能够在生物靠近的时候向外喷吐液体与孢子。,看似平平無奇的蘑菇，而能夠在生物靠近的時候向外噴吐液體與孢子。
70051,被迷离的粉色雾气环绕的浅色蘑菇，如果不小心吸入雾气会变得失去理智，混乱不堪。,被迷離的粉色霧氣環繞的淺色蘑菇，如果不小心吸入霧氣會變得失去理智，混亂不堪。
